,BOAT,type,WING_CONFIG_unk,DATETIME,entry_bsp,exit_bsp,min_bsp,bsp_loss,entry_twa,exit_twa,entry_rh,exit_rh,entry_rh_stability,max_yaw_rate,two_DB_time,tws,pop_time,turn_min_rh,t_invert,entry_heel,entry_pitch,exit_heel,exit_pitch,turning_time,bsp_at_drop,heel_at_drop,entry_jib_lead,exit_jib_lead,entry_jib_sheet,exit_jib_sheet,max_rudder_angle,vmg_distance,theoretical_target_vmg
0,AUS,tack,11.0,2022-06-18T17:57:22.600000+00:00,49.91,49.12,33.83,16.08,50.7,69.1,1098.7,1049.8,1599.7,27.98,5.2,23.0,2.0,762.2,,-0.106,-1.9224,0.0775999999999999,-2.095,6.2,53.06,0.38,35.249,35.29560000000001,,,18.2,280.9516972486213,31.9518
1,AUS,tack,11.0,2022-06-18T19:19:50.600000+00:00,55.43,41.65,32.44,22.99,56.6,53.9,935.5,1067.6,895.0,32.04,5.4,25.0,1.6,676.5,,1.8204,-2.1756,0.3671999999999999,-0.8928000000000001,3.2,53.96,2.77,36.6418,36.5112,,,15.6,312.6589002346625,32.19780000000001
4,AUS,tack,11.0,2022-06-18T19:24:20.600000+00:00,54.55,50.58,37.36,17.189999999999998,52.9,54.3,959.2,1031.3,541.9,35.11,6.0,28.0,1.8,408.3,,-0.1393999999999999,-2.1274,-1.415,-1.7333999999999998,4.6,53.85,0.5,33.538999999999994,33.5522,,,17.2,329.8870672941985,34.4158
5,AUS,tack,11.0,2022-06-18T19:25:05.200000+00:00,56.5,51.65,40.25,16.25,52.1,51.2,1037.3,1045.4,1019.4,30.15,5.6,28.0,1.6,654.2,,0.0935999999999999,-2.179,-0.6725999999999999,-2.0958,4.8,56.75,-1.17,33.5816,33.528800000000004,,,16.1,179.27714048348523,35.4722
6,AUS,tack,11.0,2022-06-18T19:25:43.600000+00:00,52.84,57.2,38.22,14.620000000000005,48.6,71.9,1041.1,857.0,488.6,31.52,7.0,28.0,1.6,509.6,,-0.473,-2.0566,0.6102,-2.2608,4.2,55.49,3.03,33.531,40.80780000000001,,,16.9,266.5772514343008,34.65239999999999
9,AUS,tack,11.0,2022-06-18T19:50:46.600000+00:00,50.75,46.31,38.35,12.4,46.1,52.9,960.0,941.7,1289.4,34.71,5.0,28.0,1.2,804.5,,0.1213999999999999,-2.043,-0.2902,-1.6306,3.4,52.5,-0.78,34.1634,34.12,,,17.3,101.94450168309274,35.5576
10,AUS,tack,11.0,2022-06-18T19:52:01.600000+00:00,53.01,50.78,38.76,14.25,46.3,55.2,909.7,990.8,522.0,34.65,5.6,30.0,1.8,524.8,,-1.4666,-2.1788000000000003,-0.2052,-1.8208,3.6,53.32,0.63,34.28999999999999,34.2266,,,17.7,348.97555313394315,35.18900000000001
11,AUS,tack,11.0,2022-06-18T19:52:50.600000+00:00,52.8,47.92,38.38,14.419999999999996,45.9,49.3,952.7,984.2,1162.9,32.67,4.8,29.0,1.8,724.4,,-0.3556,-2.0142,-0.2298,-1.5448,3.8,52.87,0.61,34.239000000000004,34.1968,,,15.6,361.878041157857,35.7182
13,AUS,tack,11.0,2022-06-18T19:55:38.200000+00:00,50.76,50.26,36.51,14.25,43.2,56.4,902.9,901.2,967.7,37.43,4.8,32.0,2.0,110.3,,1.077,-1.5071999999999997,-0.0353999999999999,-1.7297999999999996,3.6,48.06,2.69,36.8422,36.687000000000005,,,18.3,337.7768508434827,36.3856
14,AUS,tack,11.0,2022-06-18T19:56:51.200000+00:00,52.29,52.44,37.79,14.5,45.9,53.2,1001.6,1027.7,650.1,28.94,4.2,31.0,1.6,658.6,,-0.4208,-1.8772,-0.2974,-2.0692,4.8,53.95,-1.23,36.711000000000006,36.6854,,,16.8,352.5245267256165,36.561400000000006
